,City,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng
337,Springfield,Greene,US,168122,1900.0,283086.0,420.0,3/24/2020,15.5,89.0,3.4,2.2,0.7,0.1,1.2,3.3,291923.0,,,42.6407,-88.4135
356,Staten Island,Richmond,US,476143,8030.3,476143.0,8030.3,3/22/2020,11.7,69.0,10.9,9.9,0.3,1.0,6.7,3.1,73325.0,,,40.5834,-74.1496
357,Suzhou,Jiangsu,CN,7069992,6676.0,,,2/6/2020,,,,,,,,,,,,33.636111,116.978889
359,Taiyuan,Shanxi,CN,3862721,6600.0,,,,,,,,,,,,,,,37.869444,112.560278
360,Tallahassee,Leon,US,193551,1901.0,293582.0,440.0,3/25/2020,20.7,60.3,31.6,3.7,0.3,0.1,1.4,2.7,35700.0,,,30.4551,-84.2527
361,The Bronx,Bronx,US,1418207,32903.6,1418207.0,32903.6,3/22/2020,27.3,26.3,35.5,4.0,1.3,0.1,27.2,5.6,174470.0,,,,
362,Tianjin,,CN,13524025,3400.0,,,2/7/2020,,,,,,,,,,,,39.142222,117.176667
363,Tucson,Pima,US,545975,2299.0,1047279.0,113.0,3/31/2020,16.2,71.6,3.8,3.2,3.4,0.2,13.6,4.2,190252.0,,,32.1545,-110.8782
364,Washington D. C. ,District of Columbia,US,702455,11148.0,702455.0,11148.0,3/30/2020,16.1,41.9,44.9,4.3,0.4,0.1,5.1,3.4,81712.0,,,,
365,Wuhan,Hubei,CN,8331671,15080.0,,,1/23/2020,,,,,,,,,,,4/8/2020,30.583333000000003,114.266667
366,Wuxi,Jiangsu,CN,3236811,3700.0,,,2/3/2020,,,,,,,,,,,,31.568872999999996,120.288573
368,Xiamen,Fujian,CN,3697107,25150.0,,,,,,,,,,,,,,,24.479794000000002,118.081869
369,Xining,Qinghai,CN,1460000,20000.0,,,,,,,,,,,,,,,36.625541,101.75739
370,Xinxiang,Henan,CN,1047088,6300.0,,,,,,,,,,,,,,,,
371,Xi’an,Shaanxi,CN,7907072,17000.0,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611
372,Xuchang,Henan,CN,4307488,2200.0,,,,,,,,,,,,,,,,
373,Yinchuan,Ningxia,CN,2570000,14000.0,,,1/31/2020,,,,,,,,,,,,38.468056,106.27305600000001
374,Yunfu,Guangdong,CN,2367154,780.0,,,,,,,,,,,,,,,22.928325,112.03953899999999
375,Zhengzhou,Henan,CN,5258362,15000.0,,,2/4/2020,,,,,,,,,,,,34.683611,113.5325
377,Zhuzhou,Hunan,CN,1145100,3438.0,,,,,,,,,,,,,,,27.833333000000003,113.15
378,Ürümqi,Xinjiang,CN,4308738,630.0,,,,,,,,,,,,,,,43.807347,87.63050600000001
