,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
68,Guizhou,CN,3286364,4696800,,,2/7/2020,,,,,,,,,,,,26.583333,106.716667,1/21/2020,no2,Guiyang
69,Guizhou,CN,3286364,4696800,,,2/7/2020,,,,,,,,,,,,26.583333,106.716667,1/26/2020,co,Guiyang
70,Hainan,CN,2250000,14000,,,2/5/2020,,,,,,,,,,,,20.045833,110.341667,1/21/2020,no2,Haikou
71,Hainan,CN,2250000,14000,,,2/5/2020,,,,,,,,,,,,20.045833,110.341667,1/11/2020,so2,Haikou
72,Zhejiang,CN,9119000,1600,,,2/4/2020,,,,,,,,,,,,30.29365,120.161419,1/25/2020,o3,Hangzhou
73,Zhejiang,CN,9119000,1600,,,2/4/2020,,,,,,,,,,,,30.29365,120.161419,1/16/2020,no2,Hangzhou
74,Zhejiang,CN,9119000,1600,,,2/4/2020,,,,,,,,,,,,30.29365,120.161419,3/6/2020,no2,Hangzhou
75,Zhejiang,CN,9119000,1600,,,2/4/2020,,,,,,,,,,,,30.29365,120.161419,1/16/2020,so2,Hangzhou
76,Zhejiang,CN,9119000,1600,,,2/4/2020,,,,,,,,,,,,30.29365,120.161419,1/31/2020,co,Hangzhou
77,Heilongjiang,CN,6340878,22000,,,2/4/2020,,,,,,,,,,,,45.75,126.65,1/21/2020,o3,Harbin
78,Heilongjiang,CN,6340878,22000,,,2/4/2020,,,,,,,,,,,,45.75,126.65,3/6/2020,pm25,Harbin
79,Heilongjiang,CN,6340878,22000,,,2/4/2020,,,,,,,,,,,,45.75,126.65,1/31/2020,no2,Harbin
80,Heilongjiang,CN,6340878,22000,,,2/4/2020,,,,,,,,,,,,45.75,126.65,2/15/2020,so2,Harbin
81,Heilongjiang,CN,6340878,22000,,,2/4/2020,,,,,,,,,,,,45.75,126.65,2/15/2020,co,Harbin
82,Hartford,US,122587,7083,891720,1213,3/23/2020,11.2,67.4,14.4,5.8,0.3,0,8.7,3.3,147260,,,41.76371,-72.685097,2/15/2020,o3,Hartford
83,Anhui,CN,4197561,12000,,,2/5/2020,,,,,,,,,,,,31.863889,117.280833,1/21/2020,o3,Hefei
84,Anhui,CN,4197561,12000,,,2/5/2020,,,,,,,,,,,,31.863889,117.280833,2/5/2020,pm25,Hefei
85,Anhui,CN,4197561,12000,,,2/5/2020,,,,,,,,,,,,31.863889,117.280833,1/21/2020,no2,Hefei
86,Anhui,CN,4197561,12000,,,2/5/2020,,,,,,,,,,,,31.863889,117.280833,2/5/2020,co,Hefei
87,Heilongjiang,CN,690000,15000,,,,,,,,,,,,,,,47.351176,130.300115,1/16/2020,o3,Hegang
88,Heilongjiang,CN,690000,15000,,,,,,,,,,,,,,,47.351176,130.300115,2/15/2020,so2,Hegang
89,Inner Mognolia,CN,2049800,20000,,,,,,,,,,,,,,,40.810556,111.652222,3/1/2020,pm25,Hohhot
90,Inner Mognolia,CN,2049800,20000,,,,,,,,,,,,,,,40.810556,111.652222,1/31/2020,no2,Hohhot
91,Inner Mognolia,CN,2049800,20000,,,,,,,,,,,,,,,40.810556,111.652222,3/1/2020,so2,Hohhot
92,Inner Mognolia,CN,2049800,20000,,,,,,,,,,,,,,,40.810556,111.652222,2/15/2020,co,Hohhot
93,Honolulu,US,347397,5815,974563,1621,3/25/2020,7.7,20.8,2.7,42.5,0.3,9.3,1.2,23.1,166432,,,21.315603,-157.858093,,,Honolulu
94,Harris,US,2325502,3613,4713325,2767,3/24/2020,16.5,54,19.1,7.3,0.6,0.1,15.2,3.7,452327,,,29.749907,-95.358421,,,Houston
95,Marion,US,867125,2366,964582,2435,3/23/2020,17.1,57.7,28.6,3.7,0.3,0.1,6.2,3.5,113355,,,39.791,-86.148003,2/23/2020,o3,Indianapolis
96,Marion,US,867125,2366,964582,2435,3/23/2020,17.1,57.7,28.6,3.7,0.3,0.1,6.2,3.5,113355,,,39.791,-86.148003,2/26/2020,no2,Indianapolis
97,Hinds,US,166422,1524,231840,100,4/1/2020,19.4,24.4,72.7,0.8,0.2,0,0.7,1.1,31686,,,42.245777,-84.405968,,,Jackson
98,Duval,US,903889,1178,957755,1256,4/3/2020,14.5,57.9,30.1,5,0.4,0.1,2.9,3.6,123480,,,30.332184,-81.655647,2/4/2020,co,Jacksonville
99,Guangdong,CN,5877025,2900,,,,,,,,,,,,,,,23.528858,116.364159,1/16/2020,no2,Jieyang
100,Guangdong,CN,5877025,2900,,,,,,,,,,,,,,,23.528858,116.364159,2/25/2020,no2,Jieyang
101,Guangdong,CN,5877025,2900,,,,,,,,,,,,,,,23.528858,116.364159,1/16/2020,pm10,Jieyang
102,Guangdong,CN,5877025,2900,,,,,,,,,,,,,,,23.528858,116.364159,1/11/2020,so2,Jieyang
103,Shandong,CN,5307818,1700,,,2/5/2020,,,,,,,,,,,,36.668333,116.997222,1/21/2020,o3,Jinan
104,Shandong,CN,5307818,1700,,,2/5/2020,,,,,,,,,,,,36.668333,116.997222,1/26/2020,no2,Jinan
105,Shandong,CN,5307818,1700,,,2/5/2020,,,,,,,,,,,,36.668333,116.997222,2/10/2020,so2,Jinan
106,Yunnan,CN,4406978,14000,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333,1/31/2020,o3,Kunming
107,Yunnan,CN,4406978,14000,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333,2/15/2020,pm25,Kunming
108,Yunnan,CN,4406978,14000,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333,1/21/2020,no2,Kunming
109,Yunnan,CN,4406978,14000,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333,2/25/2020,no2,Kunming
110,Yunnan,CN,4406978,14000,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333,3/11/2020,pm10,Kunming
111,Gansu,CN,3056424,25000,,,2/7/2020,,,,,,,,,,,,36.057006,103.839868,2/25/2020,o3,Lanzhou
112,Gansu,CN,3056424,25000,,,2/7/2020,,,,,,,,,,,,36.057006,103.839868,1/31/2020,pm25,Lanzhou
113,Gansu,CN,3056424,25000,,,2/7/2020,,,,,,,,,,,,36.057006,103.839868,3/1/2020,so2,Lanzhou
114,Gansu,CN,3056424,25000,,,2/7/2020,,,,,,,,,,,,36.057006,103.839868,2/25/2020,co,Lanzhou
115,Clark,US,644644,4709,2266715,287,4/1/2020,14,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845,,,36.114647,-115.172813,3/7/2020,o3,Las Vegas
116,Clark,US,644644,4709,2266715,287,4/1/2020,14,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845,,,36.114647,-115.172813,3/2/2020,pm25,Las Vegas
