,City,Country,Date,Specie,Unnamed: 0,count,max,median,min,variance,iaqi,AQI
295111,Albuquerque,US,2020-01-16 00:00:00,pm10,295111.0,72,102.0,18.0,8.0,3125.13,17,82
295406,Albuquerque,US,2020-01-16 00:00:00,pm25,295406.0,72,61.0,27.0,12.0,2111.33,82,82
295557,Albuquerque,US,2020-01-16 00:00:00,no2,295557.0,20,24.1,16.7,7.5,286.28,15,82
294572,Albuquerque,US,2020-01-17 00:00:00,co,294572.0,48,4.5,1.8,0.5,8.96,20,105
294736,Albuquerque,US,2020-01-17 00:00:00,so2,294736.0,2,1.5,1.5,1.5,0.0,1,105
294817,Albuquerque,US,2020-01-17 00:00:00,o3,294817.0,69,38.4,19.2,2.4,1113.77,16,105
295056,Albuquerque,US,2020-01-17 00:00:00,pm10,295056.0,72,33.0,17.0,6.0,433.33,16,105
295474,Albuquerque,US,2020-01-17 00:00:00,pm25,295474.0,72,69.0,37.0,6.0,3324.04,105,105
295505,Albuquerque,US,2020-01-17 00:00:00,no2,295505.0,24,23.2,8.4,4.7,376.01,8,105
294553,Albuquerque,US,2020-01-18 00:00:00,co,294553.0,48,9.0,1.8,0.9,30.95,20,46
294760,Albuquerque,US,2020-01-18 00:00:00,so2,294760.0,3,1.5,1.5,1.5,0.0,1,46
294862,Albuquerque,US,2020-01-18 00:00:00,o3,294862.0,72,44.8,25.6,0.8,1420.63,21,46
295150,Albuquerque,US,2020-01-18 00:00:00,pm10,295150.0,72,58.0,8.0,2.0,1458.57,7,46
295452,Albuquerque,US,2020-01-18 00:00:00,pm25,295452.0,72,91.0,11.0,4.0,2891.2,46,46
295568,Albuquerque,US,2020-01-18 00:00:00,no2,295568.0,24,28.8,9.3,2.8,694.53,8,46
294561,Albuquerque,US,2020-01-19 00:00:00,co,294561.0,44,6.4,1.8,0.7,14.05,20,57
294701,Albuquerque,US,2020-01-19 00:00:00,so2,294701.0,3,1.5,1.5,1.5,0.0,1,57
294824,Albuquerque,US,2020-01-19 00:00:00,o3,294824.0,65,40.0,24.8,0.8,1087.9,20,57
295154,Albuquerque,US,2020-01-19 00:00:00,pm10,295154.0,71,40.0,8.0,2.0,557.36,7,57
295480,Albuquerque,US,2020-01-19 00:00:00,pm25,295480.0,72,84.0,15.0,5.0,2397.46,57,57
295540,Albuquerque,US,2020-01-19 00:00:00,no2,295540.0,20,15.8,4.7,2.8,174.5,4,57
294565,Albuquerque,US,2020-01-20 00:00:00,co,294565.0,48,10.2,2.8,1.0,47.16,31,89
294772,Albuquerque,US,2020-01-20 00:00:00,so2,294772.0,10,2.9,1.5,1.5,4.57,1,89
294853,Albuquerque,US,2020-01-20 00:00:00,o3,294853.0,66,35.2,17.6,0.8,983.88,14,89
295114,Albuquerque,US,2020-01-20 00:00:00,pm10,295114.0,72,85.0,17.0,6.0,2269.76,16,89
295441,Albuquerque,US,2020-01-20 00:00:00,pm25,295441.0,72,86.0,30.0,13.0,2593.33,89,89
295492,Albuquerque,US,2020-01-20 00:00:00,no2,295492.0,24,30.6,17.6,6.5,673.22,16,89
294614,Albuquerque,US,2020-01-21 00:00:00,co,294614.0,48,8.4,2.2,0.6,27.74,25,107
294716,Albuquerque,US,2020-01-21 00:00:00,so2,294716.0,8,2.9,1.5,1.5,4.2,1,107
294849,Albuquerque,US,2020-01-21 00:00:00,o3,294849.0,65,29.6,13.6,0.8,618.22,11,107
295090,Albuquerque,US,2020-01-21 00:00:00,pm10,295090.0,72,38.0,15.0,7.0,437.15,14,107
295431,Albuquerque,US,2020-01-21 00:00:00,pm25,295431.0,72,59.0,38.0,18.0,923.08,107,107
295594,Albuquerque,US,2020-01-21 00:00:00,no2,295594.0,23,28.8,17.6,4.7,550.79,16,107
294577,Albuquerque,US,2020-01-22 00:00:00,co,294577.0,41,5.0,1.3,0.6,9.22,15,57
294744,Albuquerque,US,2020-01-22 00:00:00,so2,294744.0,3,1.5,1.5,1.5,0.0,1,57
294786,Albuquerque,US,2020-01-22 00:00:00,o3,294786.0,70,31.2,23.3,7.3,411.59,19,57
295102,Albuquerque,US,2020-01-22 00:00:00,pm10,295102.0,72,35.0,9.0,1.0,424.98,8,57
295401,Albuquerque,US,2020-01-22 00:00:00,pm25,295401.0,72,59.0,15.0,5.0,1676.29,57,57
295519,Albuquerque,US,2020-01-22 00:00:00,no2,295519.0,23,10.2,5.6,2.8,43.36,5,57
294605,Albuquerque,US,2020-01-23 00:00:00,co,294605.0,48,4.7,1.9,0.8,7.26,20,53
294717,Albuquerque,US,2020-01-23 00:00:00,so2,294717.0,2,1.5,1.5,1.5,0.0,1,53
294821,Albuquerque,US,2020-01-23 00:00:00,o3,294821.0,71,32.0,24.8,0.8,665.73,20,53
295095,Albuquerque,US,2020-01-23 00:00:00,pm10,295095.0,71,55.0,8.0,3.0,1089.64,7,53
295454,Albuquerque,US,2020-01-23 00:00:00,pm25,295454.0,72,61.0,13.0,8.0,1668.33,53,53
295516,Albuquerque,US,2020-01-23 00:00:00,no2,295516.0,24,16.7,6.5,2.8,167.24,6,53
294574,Albuquerque,US,2020-01-24 00:00:00,co,294574.0,44,18.6,2.6,0.2,115.1,30,63
294729,Albuquerque,US,2020-01-24 00:00:00,so2,294729.0,6,2.9,1.5,1.5,3.27,1,63
294854,Albuquerque,US,2020-01-24 00:00:00,o3,294854.0,65,32.0,21.6,0.8,1007.28,18,63
295120,Albuquerque,US,2020-01-24 00:00:00,pm10,295120.0,71,93.0,10.0,2.0,4313.53,9,63
295478,Albuquerque,US,2020-01-24 00:00:00,pm25,295478.0,72,148.0,18.0,4.0,6144.41,63,63
295529,Albuquerque,US,2020-01-24 00:00:00,no2,295529.0,24,30.6,11.2,2.8,1010.89,10,63
294566,Albuquerque,US,2020-01-25 00:00:00,co,294566.0,43,5.6,2.0,0.2,15.82,23,46
294773,Albuquerque,US,2020-01-25 00:00:00,so2,294773.0,4,1.5,1.5,1.5,0.0,1,46
294850,Albuquerque,US,2020-01-25 00:00:00,o3,294850.0,63,32.8,24.8,3.2,536.32,20,46
295124,Albuquerque,US,2020-01-25 00:00:00,pm10,295124.0,72,63.0,8.0,1.0,1446.48,7,46
295472,Albuquerque,US,2020-01-25 00:00:00,pm25,295472.0,72,93.0,11.0,5.0,4065.54,46,46
295590,Albuquerque,US,2020-01-25 00:00:00,no2,295590.0,24,24.1,9.3,1.9,404.87,8,46
294599,Albuquerque,US,2020-01-26 00:00:00,co,294599.0,41,6.4,2.4,0.5,17.15,26,61
294742,Albuquerque,US,2020-01-26 00:00:00,so2,294742.0,3,1.5,1.5,1.5,0.0,1,61
294855,Albuquerque,US,2020-01-26 00:00:00,o3,294855.0,64,32.8,22.4,0.8,1436.01,19,61
295052,Albuquerque,US,2020-01-26 00:00:00,pm10,295052.0,72,79.0,9.0,2.0,2504.01,8,61
295427,Albuquerque,US,2020-01-26 00:00:00,pm25,295427.0,72,99.0,17.0,6.0,3552.68,61,61
295525,Albuquerque,US,2020-01-26 00:00:00,no2,295525.0,21,31.5,13.9,2.8,1216.74,12,61
294600,Albuquerque,US,2020-01-27 00:00:00,co,294600.0,40,14.4,1.5,0.2,60.88,17,57
294699,Albuquerque,US,2020-01-27 00:00:00,so2,294699.0,9,4.3,1.5,1.5,10.34,1,57
294874,Albuquerque,US,2020-01-27 00:00:00,o3,294874.0,58,32.8,23.3,0.8,690.26,19,57
295057,Albuquerque,US,2020-01-27 00:00:00,pm10,295057.0,70,70.0,10.0,3.0,2347.45,9,57
295455,Albuquerque,US,2020-01-27 00:00:00,pm25,295455.0,72,97.0,15.0,6.0,3584.21,57,57
295569,Albuquerque,US,2020-01-27 00:00:00,no2,295569.0,19,33.4,7.5,1.9,1416.05,7,57
294538,Albuquerque,US,2020-01-28 00:00:00,co,294538.0,46,8.6,1.7,0.8,28.45,18,33
294745,Albuquerque,US,2020-01-28 00:00:00,so2,294745.0,3,1.5,1.5,1.5,0.0,1,33
294881,Albuquerque,US,2020-01-28 00:00:00,o3,294881.0,70,36.8,27.2,0.8,741.6,23,33
295093,Albuquerque,US,2020-01-28 00:00:00,pm10,295093.0,56,115.0,6.0,3.0,2252.46,6,33
295444,Albuquerque,US,2020-01-28 00:00:00,pm25,295444.0,56,167.0,8.0,6.0,5095.9,33,33
295536,Albuquerque,US,2020-01-28 00:00:00,no2,295536.0,22,36.2,4.7,1.9,1377.97,4,33
294575,Albuquerque,US,2020-01-29 00:00:00,co,294575.0,48,20.9,2.2,0.9,93.53,25,57
294730,Albuquerque,US,2020-01-29 00:00:00,so2,294730.0,3,1.5,1.5,1.5,0.0,1,57
294801,Albuquerque,US,2020-01-29 00:00:00,o3,294801.0,64,36.1,24.1,0.8,1027.09,20,57
295125,Albuquerque,US,2020-01-29 00:00:00,pm10,295125.0,48,21.0,10.0,4.0,164.24,9,57
295391,Albuquerque,US,2020-01-29 00:00:00,pm25,295391.0,48,39.0,15.0,7.0,381.68,57,57
295556,Albuquerque,US,2020-01-29 00:00:00,no2,295556.0,24,36.2,9.3,3.8,1220.63,8,57
294514,Albuquerque,US,2020-01-30 00:00:00,co,294514.0,48,12.5,1.9,0.7,62.16,20,59
294702,Albuquerque,US,2020-01-30 00:00:00,so2,294702.0,3,1.5,1.5,1.5,0.0,1,59
294829,Albuquerque,US,2020-01-30 00:00:00,o3,294829.0,68,35.2,27.2,0.8,909.4,23,59
295087,Albuquerque,US,2020-01-30 00:00:00,pm10,295087.0,47,52.0,11.0,4.0,529.09,10,59
295412,Albuquerque,US,2020-01-30 00:00:00,pm25,295412.0,47,92.0,16.0,4.0,1832.93,59,59
295545,Albuquerque,US,2020-01-30 00:00:00,no2,295545.0,22,32.5,6.5,2.8,862.57,6,59
294606,Albuquerque,US,2020-01-31 00:00:00,co,294606.0,48,11.9,1.9,0.9,32.24,20,38
294711,Albuquerque,US,2020-01-31 00:00:00,so2,294711.0,2,1.5,1.5,1.5,0.0,1,38
294875,Albuquerque,US,2020-01-31 00:00:00,o3,294875.0,72,36.8,23.3,0.8,722.79,19,38
